"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Disgaea 5: Scenario - Makai Kingdom: Zetta Episode","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/9/2015","","2/1/2021","Tactical RPG"
"Disgaea PC","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/24/2016","","24/7/2018","Tactical RPG"
"Dishonored","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/9/2012","","2/10/2018","Action-adventure"
"Divinity: Original Sin","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/30/2014","","19/1/2021","RPG"
"Divinity: Original Sin - Enhanced Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/27/2015","","19/1/2021","RPG"
"Double Dragon (1987)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1987","","24/7/2018","Beat 'em Up"
"Double Dragon 3: The Rosetta Stone","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018","Beat 'em Up"
"Double Dragon II: The Revenge (1988)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1988","","24/7/2018","Beat 'em Up"
"Double Dragon Trilogy","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/15/2015","","24/7/2018","Compilation"
"Downwell","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018","Platformer"
"Dragon Age: Origins","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/3/2009","","2/10/2018","RPG"
"Dragon Age: Origins","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/3/2009","","26/1/2026","RPG"
"Dragon Age: Origins - Awakening","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/16/2010","","26/1/2026","RPG"
"Dragon Age: Origins - Ultimate Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/25/2010","","26/1/2026","Compilation"
"Dragon Quest III: The Seeds of Salvation","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/6/1996","9/27/2019","2/1/2021","JRPG"
"Dragon Quest XI: Echoes of an Elusive Age","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/29/2017","9/4/2018","2/10/2018","JRPG"
"Dragon Quest XI: Echoes of an Elusive Age","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/29/2017","9/4/2018","2/1/2021","JRPG"
"Dragon's Crown Pro","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","2/8/2018","5/15/2018","2/1/2021","Hack and Slash (RPG)"
"Drainus","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"Dream Tactics","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/15/2024","","26/1/2026","Turn-based Tactics"
"DuckTales Remastered","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/13/2013","8/13/2013","24/7/2018","Platformer"
"Duelists of Eden","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"Dungeon of the ENDLESS","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/11/2013","","24/7/2018","Tower Defense"
"Dungeon of Zolthan","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/11/2016","","24/7/2018","Platform-adventure"
"Dungeon Siege III","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/16/2011","","24/7/2018","Hack and Slash (RPG)"
"Dust: An Elysian Tail","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Finished","","","","","","","","Purchase","","","7","8/15/2012","","24/7/2018","Platform-adventure"
"Eador: Masters of the Broken World","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/19/2013","","24/7/2018",""
"Earthion","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"The Elder Scrolls III: Morrowind","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/1/2002","","24/7/2018","Action RPG"
"The Elder Scrolls IV: Oblivion","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/20/2006","","24/7/2018","Action RPG"
"The Elder Scrolls V: Skyrim","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/11/2011","","24/7/2018","Action RPG"
"The Elder Scrolls V: Skyrim","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/11/2011","","24/7/2018","Action RPG"
"The Elder Scrolls V: Skyrim - Dawnguard","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/26/2012","","24/7/2018","Action RPG"
"The Elder Scrolls V: Skyrim - Dragonborn","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/4/2012","","24/7/2018","Action RPG"
"The Elder Scrolls V: Skyrim - Hearthfire","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/4/2012","","24/7/2018","Action RPG"
"The Elder Scrolls V: Skyrim - Special Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/28/2016","","24/7/2018","Compilation"
"Ender Lilies: Quietus of the Knights","","PlayStation 4","Digital (PSN)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/20/2021","7/20/2021","14/9/2021","Platform-adventure"
"Endless Legend","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/24/2014","","19/1/2021","4X Strategy"
"Endless Space 2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/6/2016","","24/7/2018","4X Strategy"
"Enter the Gungeon","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/5/2016","","2/1/2021",""
"Eryi's Action","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","19/1/2021",""
"Etrian Odyssey HD","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"Etrian Odyssey III HD","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"Europa Universalis IV","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/13/2013","","26/1/2026",""
"Everspace","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/14/2016","5/22/2018","2/1/2021","Space Combat Simulation"
"Evoland","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/4/2013","","2/1/2021","Action-adventure"
"Evoland 2: A Slight Case of Spacetime Continuum Disorder","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/25/2015","","2/1/2021","Action-adventure"
"Evoland: Legendary Edition","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2/1/2021","Compilation"
"Exist Archive: The Other Side of the Sky","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/17/2015","10/18/2016","2/1/2021","JRPG"
"Fae Tactics","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/31/2020","7/31/2020","19/1/2021","Turn-based Tactics"
"Fairy Bloom Freesia","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018",""
"Fallen Leaf","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"Fallout: New Vegas","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/19/2010","","24/7/2018","Action RPG"
"Fantasian Neo Dimension","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/5/2024","","26/1/2026","JRPG"
"Fell Seal: Arbiter's Mark","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/16/2018","","2/1/2021","Tactical RPG"
"Fez","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/13/2012","","2/10/2018","Puzzle-platform"
"Final Fantasy Adventure","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/28/1991","","2/1/2021","Action RPG"
"Final Fantasy Crystal Chronicles: Remastered Edition","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2/1/2021","Action RPG"
"Final Fantasy III (2006)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/24/2006","","24/7/2018","JRPG"
"Final Fantasy IV (2007)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/20/2007","","24/7/2018","JRPG"
"Final Fantasy IV: The After Years","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/1/2009","","24/7/2018","RPG"
"Final Fantasy IX","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/7/2000","4/14/2016","24/7/2018","JRPG"
"Final Fantasy V (2013)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018","RPG"
"Final Fantasy V (Pixel Remaster)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","22/3/2022","JRPG"
"Final Fantasy VI (2014)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018","JRPG"
"Final Fantasy VI (Pixel Remaster)","","PC / Windows","Digital (Steam)","NA","Yes","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","22/3/2022","JRPG"
"Final Fantasy VII","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/31/1997","","24/7/2018","JRPG"
