"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Assassin's Creed Odyssey: Legacy of the First Blade","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","7","","","12/3/2019",""
"Assassin's Creed Rogue","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$4.97","","","","","","","Purchase","","","","11/11/2014","11/11/2014","8/6/2017","Action-adventure"
"Assassin's Creed Syndicate","","Xbox One","Physical (Unassigned)","NA","No","No","Owned","Finished","$6.27","","","","","","","Purchase","","","","10/23/2015","10/23/2015","8/6/2017","Action-adventure"
"Assassin's Creed Unity","","Xbox One","Physical (Unassigned)","NA","No","No","Owned","Finished","$5.55","","","","","","","Purchase","","","","11/11/2014","11/11/2014","8/6/2017","Action-adventure"
"Assassin's Creed Valhalla","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$8.00","","","","","","","Purchase","","","8","11/10/2020","11/10/2020","11/6/2020","Action RPG"
"Assassin's Creed:  Revelations - The Lost Archive","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","8/5/2017","Puzzle"
"Assassin's Creed: Brotherhood","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/16/2010","","8/5/2017","Action-adventure"
"Assassin's Creed: Brotherhood","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$3.68","","","","","","","Purchase","","","","11/16/2010","11/16/2010","8/6/2017","Action-adventure"
"Assassin's Creed: Brotherhood - Copernicus Conspiracy","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","8/5/2017",""
"Assassin's Creed: Brotherhood - The Da Vinci Disappearance","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","8/5/2017","Action-adventure"
"Assassin's Creed: Origins","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$7.50","","","","","","","Purchase","","","9","10/26/2017","10/27/2017","10/30/2017","Action-adventure"
"Assassin's Creed: Revelations","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$3.16","","","","","","","Purchase","","","","11/15/2011","11/15/2011","8/6/2017","Action-adventure"
"Assassin's Creed: Revelations","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/15/2011","","8/5/2017","Action-adventure"
"Assassin's Creed: The Ezio Collection","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Incomplete","$12.74","","","","","","","Purchase","","","","11/15/2016","11/15/2016","8/5/2017","Compilation"
"Astro's Playroom","","PlayStation 5","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","7","11/12/2020","","12/24/2020","Platformer"
"Atelier Rorona: The Alchemist of Arland DX","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/20/2018","12/4/2018","3/17/2021","JRPG"
"Atelier Rorona: The Alchemist of Arland DX","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/20/2018","","6/28/2020","JRPG"
"The Awesome Adventures of Captain Spirit","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","6","6/25/2018","","7/3/2018","Graphic Adventure"
"Baldur's Gate","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/30/1998","11/30/1998","4/19/2019","RPG"
"Baldur's Gate","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/30/1998","","3/17/2021","RPG"
"Baldur's Gate: Enhanced Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","6","11/22/2012","","3/17/2021","Compilation"
"Baldur's Gate: Enhanced Edition","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","6","11/22/2012","","4/19/2019","Compilation"
"Baldur's Gate: Tales of the Sword Coast","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/4/1999","5/4/1999","4/19/2019","RPG"
"Baldur's Gate: Tales of the Sword Coast","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/4/1999","","3/17/2021","RPG"
"The Banner Saga 2","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","9","4/19/2016","","6/27/2017","Tactical RPG"
"The Banner Saga 2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","9","4/19/2016","","3/17/2021","Tactical RPG"
"The Banner Saga 3","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/26/2018","","3/17/2021","RPG"
"The Banner Saga 3","","PC / Windows","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/26/2018","","12/25/2018","RPG"
"The Bard's Tale (2004)","","Mobile (Android)","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/26/2004","","5/29/2017","Hack and Slash (RPG)"
"Baseball Stars 2","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","4/15/1992","","7/3/2019","Sports (Baseball)"
"Batman: The Telltale Series","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","8","8/2/2016","8/2/2016","3/17/2021","Compilation"
"Batman: The Telltale Series","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","8/2/2016","","7/25/2017","Compilation"
"Batman: The Telltale Series","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$9.88","","","","","","","Purchase","","","8","8/2/2016","9/13/2016","2/7/2018","Compilation"
"Batman: The Telltale Series - Episode 1: Realm of Shadows","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","8/2/2016","","2/7/2018","Graphic Adventure"
"Batman: The Telltale Series - Episode 1: Realm of Shadows","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","8/2/2016","","7/25/2017","Graphic Adventure"
"Batman: The Telltale Series - Episode 1: Realm of Shadows","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","8","8/2/2016","8/2/2016","3/17/2021","Graphic Adventure"
"Batman: The Telltale Series - Episode 2: Children of Arkham","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","9","","","3/17/2021","Graphic Adventure"
"Batman: The Telltale Series - Episode 2: Children of Arkham","","PC / Windows","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","9","","","7/25/2017","Graphic Adventure"
"Batman: The Telltale Series - Episode 2: Children of Arkham","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","9","","","2/7/2018","Graphic Adventure"
