"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"ArcaniA: Fall of Setarrif","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","3","10/25/2011","","7/17/2023","Action RPG"
"ArcaniA: Gothic 4","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","3","10/14/2010","","7/17/2023","Action RPG"
"Arcanum: Of Steamworks and Magick Obscura","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","8/21/2001","","7/17/2023","RPG"
"Arizona Sunshine","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","12/6/2016","","7/17/2023","First-person Shooter"
"As Far As The Eye","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/10/2020","","7/17/2023","City-builder"
"Ashes of the Singularity: Escalation","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/10/2016","","7/17/2023","Real-time Strategy"
"Assassin's Creed II","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","10","11/17/2009","","7/17/2023","Action-adventure"
"Assassin's Creed III: Liberation","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","10/30/2012","","7/17/2023","Action-adventure"
"Assassin's Creed: Brotherhood","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","11/16/2010","","7/17/2023","Action-adventure"
"Assassin's Creed: Director's Cut Edition","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","7","11/13/2007","4/9/2008","7/17/2023","Action-adventure"
"Assassin's Creed: Revelations","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","11/15/2011","","7/17/2023","Action-adventure"
"Aviary Attorney","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","12/21/2015","","7/17/2023","Graphic Adventure"
"The Awesome Adventures of Captain Spirit","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","6/25/2018","6/25/2018","7/17/2023","Graphic Adventure"
"Awesomenauts","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","8/1/2012","","7/17/2023","MOBA"
"Back to the Future: The Game - Episode 1: It's About Time","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","12/22/2010","","7/17/2023","Graphic Adventure"
"Back to the Future: The Game - Episode 2: Get Tannen!","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","2/16/2011","","7/17/2023","Graphic Adventure"
"Back to the Future: The Game - Episode 3: Citizen Brown","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","3/29/2011","","7/17/2023","Graphic Adventure"
"Back to the Future: The Game - Episode 4: Double Visions","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","4/29/2011","","7/17/2023","Graphic Adventure"
"Back to the Future: The Game - Episode 5: Outatime","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","6/23/2011","","7/17/2023","Graphic Adventure"
"The Baconing","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Baldur's Gate: Enhanced Edition","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/22/2012","","7/17/2023","Compilation"
"The Ball","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023","Action-adventure"
